지금 뭐 하고 계세요?	지금 뭐 해?
사진 좀 보내주시겠어요?	사진 좀 보내줄래?
지금 바쁘신가요?	지금 바빠?
혹시 전화 가능하실까요?	전화 가능해?
잠시 시간 괜찮으세요?	잠깐 시간 돼?
이거 확인해 주실 수 있으세요?	이거 확인해 줄 수 있어?
조금만 기다려 주실 수 있나요?	조금만 기다려 줄 수 있어?
걱정하지 마세요.	걱정하지 마.
편하게 말씀 주세요.	편하게 말해.
도와주셔서 감사합니다.	도와줘서 고마워.
연락 주셔서 감사합니다.	연락 줘서 고마워.
이해해 주셔서 감사합니다.	이해해 줘서 고마워.
늦어서 죄송합니다.	늦어서 미안.
정말 죄송합니다.	진짜 미안해.
실례가 안 된다면 여쭤봐도 될까요?	실례지만 하나 물어봐도 돼?
괜찮으시면 도와주실 수 있나요?	괜찮으면 도와줄 수 있어?
조언 좀 부탁드려도 될까요?	조언 좀 해줄래?
내일 시간 되세요?	내일 시간 돼?
오늘 저녁에 시간 괜찮으세요?	오늘 저녁 시간 돼?
지금 잠깐 통화 가능하실까요?	지금 잠깐 통화 가능해?
혹시 자리 어디세요?	어디야 지금?
지금 어디 계세요?	지금 어디야?
언제 도착하실 예정이세요?	언제 도착할 거야?
곧 오실 수 있으세요?	곧 올 수 있어?
조금 늦으셔도 괜찮습니다.	조금 늦어도 돼.
천천히 오셔도 됩니다.	천천히 와도 돼.
걱정 안 하셔도 됩니다.	걱정 안 해도 돼.
부담 안 가지셔도 됩니다.	부담 안 가져도 돼.
편하게 생각하셔도 됩니다.	편하게 생각해도 돼.
먼저 들어가세요.	먼저 들어가.
식사는 하셨어요?	밥 먹었어?
식사는 괜찮으셨어요?	밥 괜찮았어?
식사 맛있게 하셨어요?	밥 맛있게 먹었어?
밥은 드셨어요?	밥은 먹었어?
오늘 기분은 어떠세요?	오늘 기분 어때?
몸은 좀 괜찮으세요?	몸은 좀 괜찮아?
많이 피곤하셨죠?	많이 피곤했지?
혹시 어디 불편하신 데 있으세요?	어디 불편한 데 있어?
많이 힘드시죠?	많이 힘들지?
요즘 많이 바쁘시죠?	요즘 많이 바쁘지?
스트레스 많이 받고 계시죠?	스트레스 많이 받고 있지?
무리하지 마세요.	무리하지 마.
너무 걱정하지 않으셔도 됩니다.	너무 걱정 안 해도 돼.
쉬엄쉬엄 하셔도 괜찮습니다.	쉬엄쉬엄 해도 돼.
천천히 하셔도 괜찮습니다.	천천히 해도 돼.
급한 건 아니니까 편하실 때 답 주세요.	급한 거 아니니까 편할 때 답 줘.
가능하실 때 알려주시면 됩니다.	시간 될 때 알려줘.
나중에 편하실 때 연락 주세요.	나중에 편할 때 연락 줘.
확인되시면 알려주세요.	확인되면 알려줘.
괜찮으시면 다시 한번 확인 부탁드립니다.	괜찮으면 한 번만 더 확인해줘.
확인해 주시면 정말 감사하겠습니다.	확인해 주면 진짜 고마울 것 같아.
말씀해 주셔서 감사합니다.	말해줘서 고마워.
알려주셔서 감사합니다.	알려줘서 고마워.
기다려 주셔서 감사합니다.	기다려줘서 고마워.
바쁘신데 시간 내주셔서 감사합니다.	바쁜데 시간 내줘서 고마워.
많이 도와주셔서 정말 감사합니다.	많이 도와줘서 진짜 고마워.
신경 써 주셔서 감사합니다.	신경 써줘서 고마워.
먼저 와 주셔서 감사합니다.	먼저 와줘서 고마워.
늦은 시간에 연락드려 죄송합니다.	늦은 시간에 연락해서 미안.
늦게 답장 드려 죄송합니다.	늦게 답해서 미안.
답장이 늦어서 죄송합니다.	답 늦어서 미안.
말씀이 조금 길어졌네요 죄송합니다.	말이 좀 길어졌네 미안.
계속 귀찮게 해드려 죄송합니다.	계속 귀찮게 해서 미안.
혹시 이해 안 되시는 부분 있으세요?	혹시 이해 안 되는 부분 있어?
필요하신 거 있으시면 언제든 말씀 주세요.	필요한 거 있으면 언제든 말해.
추가로 궁금하신 점 있으세요?	또 궁금한 거 있어?
더 도와드릴 부분 있을까요?	내가 더 도와줄 거 있어?
한 번만 더 설명해 드릴까요?	한 번만 더 설명해줄까?
조금 더 자세히 말씀드릴까요?	조금 더 자세히 얘기해줄까?
이 설명으로 괜찮으세요?	이 설명으로 괜찮아?
이 방법은 괜찮으실까요?	이 방법은 괜찮아?
이 방향으로 진행해도 괜찮으세요?	이 방향으로 진행해도 괜찮아?
이렇게 하셔도 될 것 같습니다.	이렇게 해도 될 것 같아.
그렇게 하셔도 괜찮습니다.	그렇게 해도 괜찮아.
그렇게 하셔도 문제 없습니다.	그렇게 해도 문제 없어.
부담 갖지 않으셔도 됩니다.	부담 갖지 않아도 돼.
너무 걱정 안 하셔도 될 것 같습니다.	너무 걱정 안 해도 될 것 같아.
편하실 때 하셔도 됩니다.	편할 때 해도 돼.
시간 되실 때 천천히 하셔도 됩니다.	시간 될 때 천천히 해도 돼.
지금 바로 안 하셔도 괜찮습니다.	지금 바로 안 해도 돼.
급하게 하실 필요 없습니다.	급하게 할 필요 없어.
바쁘시면 나중에 하셔도 됩니다.	바쁘면 나중에 해도 돼.
저 먼저 들어가 보겠습니다.	나 먼저 들어갈게.
이만 가보겠습니다.	나 이만 가볼게.
이만 일어나 보겠습니다.	나 이제 일어날게.
오늘 말씀 정말 감사했습니다.	오늘 얘기 정말 고마웠어.
덕분에 정말 도움 많이 됐습니다.	덕분에 진짜 도움 많이 됐어.
오늘 만나서 정말 반가웠습니다.	오늘 만나서 진짜 반가웠어.
다음에 또 뵐 수 있을까요?	다음에 또 볼 수 있을까?
다음에도 잘 부탁드립니다.	다음에도 잘 부탁해.
앞으로도 잘 부탁드립니다.	앞으로도 잘 부탁해.
계속 잘 부탁드리겠습니다.	앞으로 계속 잘 부탁해.
앞으로 잘 부탁드려요.	앞으로 잘 부탁해.
연락 다시 드리겠습니다.	내가 다시 연락할게.
다시 한번 연락드리겠습니다.	다시 연락할게.
다시 연락드려도 괜찮을까요?	다시 연락해도 괜찮아?
혹시 내일 다시 연락드려도 될까요?	내일 다시 연락해도 돼?
내일 연락 주실 수 있으세요?	내일 연락 줄 수 있어?
가능하시면 내일 알려주실 수 있으세요?	가능하면 내일 알려줄 수 있어?
그 부분은 제가 다시 확인해 보겠습니다.	그 부분은 내가 다시 확인해볼게.
조금 더 알아보고 다시 말씀드리겠습니다.	조금 더 알아보고 다시 말해줄게.
확인 후에 다시 안내드리겠습니다.	확인하고 다시 알려줄게.
결과 정리해서 다시 보내드리겠습니다.	결과 정리해서 다시 보낼게.
파일로 정리해서 전달드리겠습니다.	파일로 정리해서 전달할게.
조금만 더 기다려 주시면 업데이트 드리겠습니다.	조금만 기다리면 업데이트 해줄게.
계속 상황 공유드리겠습니다.	계속 상황 공유해줄게.
불편을 끼쳐드려 죄송합니다.	불편하게 해서 미안.
기다리게 해드려 죄송합니다.	기다리게 해서 미안.
걱정 끼쳐드려 죄송합니다.	걱정하게 해서 미안.
말씀 주셔서 다행입니다.	말해줘서 다행이야.
알려주셔서 정말 큰 도움이 됐습니다.	알려줘서 진짜 큰 도움이 됐어.
많이 도와주셔서 정말 힘이 됩니다.	많이 도와줘서 진짜 힘이 돼.
괜찮으시면 조금만 더 도와주실 수 있을까요?	괜찮으면 조금만 더 도와줄 수 있어?
지금 말씀하신 부분 다시 한번만 확인 가능하실까요?	지금 말한 부분 한 번만 다시 확인해줄 수 있어?
혹시 그건 조금 어렵다 하셔도 괜찮습니다.	그건 좀 어려워도 괜찮아.
너무 부담 갖지 않으셔도 됩니다.	너무 부담 갖지 않아도 돼.
부담되시면 안 하셔도 괜찮습니다.	부담되면 안 해도 돼.
편하신 방식대로 하셔도 괜찮습니다.	편한 방식대로 해도 돼.
지금 방식 유지하셔도 괜찮습니다.	지금 방식 유지해도 돼.
그 부분은 충분히 이해합니다.	그 부분은 충분히 이해해.
그 마음 이해합니다.	그 마음 이해해.
당연히 그렇게 느끼실 수 있습니다.	당연히 그렇게 느낄 수 있어.
속상하셨겠어요.	속상했겠지.
많이 힘드셨겠어요.	많이 힘들었지.
정말 고생 많으셨어요.	진짜 고생 많았어.
오늘 하루도 수고 많으셨습니다.	오늘 하루도 수고 많았어.
편히 쉬세요.	편히 쉬어.
푹 주무세요.	푹 자.
좋은 밤 되세요.	좋은 밤 보내.
내일 뵙겠습니다.	내일 보자.
그럼 내일 뵐게요.	그럼 내일 보자.
좋은 하루 보내세요.	좋은 하루 보내.
오늘 하루도 힘내세요.	오늘 하루도 힘내.
이것 좀 도와주시겠어요?	이것 좀 도와줄래?
점심 식사는 하셨어요?	점심은 먹었어?
어디에 계시는 거예요?	어디에 있는 거야?
내일 만날 수 있을까요?	내일 만날 수 있을까?
혹시 시간 있으세요?	혹시 시간 있어?
이거 어디서 사셨어요?	이거 어디서 샀어?
저 먼저 가보겠습니다.	나 먼저 가볼게.
잘 지내고 계시죠?	잘 지내고 있지?
무슨 일 있으세요?	무슨 일 있어?
조금 있다가 전화 드릴게요.	좀 이따가 전화할게.
커피 한 잔 하실래요?	커피 한 잔 할래?
죄송하지만 다시 말씀해 주시겠어요?	미안한데 다시 말해 줄래?
괜찮으시다면 같이 가시겠어요?	괜찮으면 같이 갈래?
지금 바로 출발해 주세요.	지금 바로 출발해 줘.
어제 무슨 일이 있었어요?	어제 무슨 일 있었어?
저도 동의합니다.	나도 동의해.
좀 더 자세히 설명해 주시겠어요?	좀 더 자세히 설명해 줄래?
저한테 맡겨주세요.	나한테 맡겨줘.
언제쯤 오실 예정이세요?	언제쯤 올 예정이야?
혹시 모르시는 분 있으신가요?	혹시 모르는 사람 있어?
이 서류 좀 확인해 주십시오.	이 서류 좀 확인해 줘.
천천히 드세요.	천천히 먹어.
잠시만 기다려 주시겠어요?	잠깐만 기다려 줄래?
퇴근하셨어요?	퇴근했어?
오늘 하루 수고 많으셨습니다.	오늘 하루 수고 많았어.
어떤 것을 도와드릴까요?	뭐 도와줄까?
제가 한번 해보겠습니다.	내가 한번 해볼게.
별일 없으시죠?	별일 없지?
저도 그렇게 생각합니다.	나도 그렇게 생각해.
어디 불편하신 데 있으세요?	어디 불편한 데 있어?
말씀 편하게 하십시오.	말 편하게 해.
잘 부탁드리겠습니다.	잘 부탁해.
먼저 들어가 보겠습니다.	먼저 들어가 볼게.
이름이 어떻게 되세요?	이름이 뭐야?
연세가 어떻게 되십니까?	나이가 어떻게 돼?
이거 좀 들어주실래요?	이거 좀 들어줄래?
다음에 뵙겠습니다.	다음에 보자.
다시 한번 생각해 보세요.	다시 한번 생각해 봐.
